assessment_url,data1,data2
https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Job levels,"Professional Individual Contributor, Mid-Professional,"
https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Assessment length,Approximate Completion Time in minutes = max 60
https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Description,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Assessment length,Approximate Completion Time in minutes = max 60
https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Description,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds."
https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Assessment length,Approximate Completion Time in minutes = 8
https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Description,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering."
https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Job levels,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Assessment length,Approximate Completion Time in minutes = 10
https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Description,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring."
https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Assessment length,Approximate Completion Time in minutes = 9
https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Description,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations."
https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Job levels,"Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Assessment length,Approximate Completion Time in minutes = 13
https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Description,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics."
https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Job levels,"Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Assessment length,Approximate Completion Time in minutes = 12
https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Description,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them."
https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Job levels,"Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Assessment length,Approximate Completion Time in minutes = 4
https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Description,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.
https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Assessment length,Approximate Completion Time in minutes = 10
https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Description,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading."
https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Assessment length,Approximate Completion Time in minutes = 9
https://www.shl.com/products/product-catalog/view/c-programming-new/,Description,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory."
https://www.shl.com/products/product-catalog/view/c-programming-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/c-programming-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/c-programming-new/,Assessment length,Approximate Completion Time in minutes = 10
https://www.shl.com/products/product-catalog/view/business-communications/,Description,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive."
https://www.shl.com/products/product-catalog/view/business-communications/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/business-communications/,Assessment length,Approximate Completion Time in minutes = 35
https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Description,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication."
https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Job levels,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Assessment length,Approximate Completion Time in minutes = 24
https://www.shl.com/products/product-catalog/view/biztalk-new/,Description,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration."
https://www.shl.com/products/product-catalog/view/biztalk-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/biztalk-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/biztalk-new/,Assessment length,Approximate Completion Time in minutes = 16
https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Description,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management."
https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Job levels,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Assessment length,Approximate Completion Time in minutes = 9
https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Description,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.

""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."""
https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Job levels,"Entry-Level,"
https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Languages,"French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International,"
https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Assessment length,Approximate Completion Time in minutes = 30
https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Description,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.

""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."""
https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Job levels,"Entry-Level,"
https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Languages,"French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA),"
https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Assessment length,Approximate Completion Time in minutes = 20
https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Description,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety."
https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Job levels,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Assessment length,Approximate Completion Time in minutes = 7
https://www.shl.com/products/product-catalog/view/css3-new/,Description,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.
https://www.shl.com/products/product-catalog/view/css3-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/css3-new/,Languages,"English (USA),"
